trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
17,False,"{'a': 0.04, 'e': 0.7775727187509279}",20,0,-97.24553313222914,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.04, 'e': 0.751805729140895}",20,0,-131.39068532617898,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.04, 'e': 0.7248360107409052}",30,0,-11.318877206301122,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.04, 'e': 0.6967067093471655}",20,3,-37.8752795776748,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 0.04, 'e': 0.6674628258413082}",25,0,-50.617706254592214,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
22,False,"{'a': 0.04, 'e': 0.6371511441985802}",20,0,-28.78341675580505,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
23,False,"{'a': 0.04, 'e': 0.6058201566434629}",25,10,12.586062094426147,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.04, 'e': 0.5735199860724567}",20,0,-22.882436182289418,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
25,False,"{'a': 0.04, 'e': 0.5403023058681398}",25,5,-65.3038926374089,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",1
26,False,"{'a': 0.04, 'e': 0.5062202572327784}",20,8,-22.353621617839966,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
27,False,"{'a': 0.04, 'e': 0.47132836417373997}",25,0,-129.3251043650254,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
28,False,"{'a': 0.04, 'e': 0.43568244627671204}",25,0,-27.956611889659627,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
29,False,"{'a': 0.04, 'e': 0.3993395294062732}",20,0,-37.48612480862687,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
30,False,"{'a': 0.04, 'e': 0.3623577544766736}",25,1,-40.07837196533349,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 1}",1
31,False,"{'a': 0.04, 'e': 0.32479628443877623}",20,0,-17.822150185793532,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
32,False,"{'a': 0.04, 'e': 0.28671520963195546}",35,0,-11.43794288176899,"{0: 30, 1: 2, 2: 2, 3: 1, 4: 0}",0
33,False,"{'a': 0.04, 'e': 0.2481754516523729}",30,2,-6.303070397265106,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 0}",1
34,False,"{'a': 0.04, 'e': 0.20923866589141926}",20,5,8.945185072010966,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.04, 'e': 0.16996714290024081}",25,8,14.816098844858931,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.04, 'e': 0.13042370873814554}",20,0,13.000593684753861,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
37,False,"{'a': 0.04, 'e': 0.09067162446430967}",20,0,22.646702995548186,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.04, 'e': 0.05077448493357918}",20,14,9.21541544154863,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.04, 'e': 0.010796117058267392}",25,20,8.038463631435594,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.04, 'e': 0.029199522301288815}",20,0,33.79547935988529,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.04, 'e': 0.06914844865406218}",20,7,11.479533544262395,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.04, 'e': 0.10898675223987112}",25,16,19.204901328619037,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.04, 'e': 0.14865070027136365}",25,13,-13.71116875925773,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
44,False,"{'a': 0.04, 'e': 0.18807683889288013}",20,0,10.456332220152342,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
45,False,"{'a': 0.04, 'e': 0.2272020946930871}",25,17,-0.19889876272683016,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.04, 'e': 0.2659638756089804}",30,16,9.279292524226173,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.04, 'e': 0.3043001710598334}",25,8,13.417375095749138,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.04, 'e': 0.3421496511508982}",25,0,22.059065617285366,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.04, 'e': 0.3794517647881545}",20,0,-23.733136080453637,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
50,False,"{'a': 0.04, 'e': 0.4161468365471424}",25,0,-29.400055000596158,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.04, 'e': 0.452176162140912}",35,6,-44.49151318078735,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 1}",1
52,False,"{'a': 0.04, 'e': 0.48748210233435935}",20,0,-58.320081162884904,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
53,False,"{'a': 0.04, 'e': 0.5220081751547073}",25,11,25.553069694836573,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.04, 'e': 0.5556991462506127}",25,11,-25.00277137901918,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
55,False,"{'a': 0.04, 'e': 0.5885011172553458}",20,2,-2.7481909338753834,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.04, 'e': 0.6203616120126798}",20,14,-1.2284480101739432,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.04, 'e': 0.6512296605275458}",20,0,-64.44519774928824,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
58,False,"{'a': 0.04, 'e': 0.6810558805071525}",25,0,-48.17371270587436,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
59,False,"{'a': 0.04, 'e': 0.7097925563621205}",20,0,-60.18832978856395,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.04, 'e': 0.7373937155412454}",25,0,-65.71375583027026,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
61,False,"{'a': 0.04, 'e': 0.7638152020777741}",30,11,-22.575262037193944,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
62,False,"{'a': 0.04, 'e': 0.7890147472295311}",25,11,10.237453157886755,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.04, 'e': 0.81295203709989}",25,0,-139.8617951841308,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
64,False,"{'a': 0.04, 'e': 0.8355887771314077}",25,0,-9.043170940587057,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
65,False,"{'a': 0.04, 'e': 0.8568887533689473}",25,0,-139.95693978291155,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",0
66,False,"{'a': 0.04, 'e': 0.8768178903942815}",20,0,-63.67987847706834,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
67,False,"{'a': 0.04, 'e': 0.8953443058394921}",20,6,3.0433588240324836,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.04, 'e': 0.912438361391958}",25,0,-133.7041141980025,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
69,False,"{'a': 0.04, 'e': 0.9280727102093327}",20,0,-40.159778539452454,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
70,False,"{'a': 0.04, 'e': 0.9422223406686583}",20,0,-74.50492572171433,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
71,False,"{'a': 0.04, 'e': 0.9548646163796264}",25,0,-133.77439478383687,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
72,False,"{'a': 0.04, 'e': 0.9659793123979747}",20,0,-72.01442193815154,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
73,False,"{'a': 0.04, 'e': 0.9755486475810826}",25,0,-176.55723066148596,"{0: 11, 1: 1, 2: 10, 3: 2, 4: 1}",0
74,False,"{'a': 0.04, 'e': 0.9835573130340064}",30,0,-147.8494751985465,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
75,False,"{'a': 0.04, 'e': 0.9899924966004454}",20,0,-90.21599065398412,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
76,False,"{'a': 0.04, 'e': 0.9948439033594595}",20,0,-147.77186918831572,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
77,False,"{'a': 0.04, 'e': 0.9981037720951457}",35,0,-243.54560186374414,"{0: 21, 1: 5, 2: 3, 3: 1, 4: 5}",0
78,False,"{'a': 0.04, 'e': 0.9997668877129283}",20,0,-120.94544734680028,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
79,False,"{'a': 0.04, 'e': 0.9998305895825983}",20,0,-93.14708841393053,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
80,False,"{'a': 0.04, 'e': 0.9982947757947531}",20,3,-82.00422060396531,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 1}",1
81,False,"{'a': 0.04, 'e': 0.9951619033238304}",25,0,-101.78849416047996,"{0: 16, 1: 6, 2: 1, 3: 0, 4: 2}",0
82,False,"{'a': 0.04, 'e': 0.990436984097473}",30,0,-155.18786619601116,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
83,False,"{'a': 0.04, 'e': 0.9841275769785145}",20,0,-40.08417021193417,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
84,False,"{'a': 0.04, 'e': 0.9762437756724099}",30,0,-164.44960290928674,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
85,False,"{'a': 0.04, 'e': 0.9667981925794611}",25,0,-101.81340633583646,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
86,False,"{'a': 0.04, 'e': 0.9558059386176664}",20,0,-34.72699679837866,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
87,False,"{'a': 0.04, 'e': 0.9432845990484758}",20,0,-113.1555723461904,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
88,False,"{'a': 0.04, 'e': 0.9292542053441233}",25,0,-119.93592599030538,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
89,False,"{'a': 0.04, 'e': 0.9137372031415447}",20,0,-26.12424923927502,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
90,False,"{'a': 0.04, 'e': 0.896758416334147}",25,1,-46.70347123430981,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 0}",1
91,False,"{'a': 0.04, 'e': 0.8783450073588739}",25,0,-200.23720228978613,"{0: 11, 1: 2, 2: 8, 3: 2, 4: 2}",0
92,False,"{'a': 0.04, 'e': 0.8585264337421017}",25,9,-13.477432566143067,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.04, 'e': 0.8373344009738799}",25,0,-130.44705877373266,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
94,False,"{'a': 0.04, 'e': 0.8148028117859123}",20,0,-71.03784628546728,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
95,False,"{'a': 0.04, 'e': 0.7909677119144165}",30,21,-24.023447844475903,"{0: 6, 1: 2, 2: 0, 3: 1, 4: 0}",1
96,False,"{'a': 0.04, 'e': 0.7658672324346374}",25,0,-55.47220814014335,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
97,False,"{'a': 0.04, 'e': 0.7395415287592585}",20,1,-81.67398524737207,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
98,False,"{'a': 0.04, 'e': 0.7120327163983102}",25,0,-119.82090644211523,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
99,False,"{'a': 0.04, 'e': 0.6833848035833363}",20,13,-4.045948738348697,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.04, 'e': 0.6536436208636119}",30,1,-163.30794547418728,"{0: 18, 1: 0, 2: 7, 3: 2, 4: 2}",1
101,False,"{'a': 0.04, 'e': 0.6228567477870415}",20,8,-64.64526547868567,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
102,False,"{'a': 0.04, 'e': 0.5910734367830315}",25,0,-109.86978638799107,"{0: 18, 1: 0, 2: 3, 3: 3, 4: 1}",1
103,False,"{'a': 0.04, 'e': 0.5583445343691101}",25,0,-27.28096321060956,"{0: 20, 1: 4, 2: 0, 3: 0, 4: 1}",0
104,False,"{'a': 0.04, 'e': 0.5247223998073464}",25,19,9.910646536256415,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.04, 'e': 0.4902608213406995}",20,0,9.50249207458128,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.04, 'e': 0.4550149301433047}",20,0,14.678706271529464,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
107,False,"{'a': 0.04, 'e': 0.41904111212235556}",25,0,-29.665471726143153,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
108,False,"{'a': 0.04, 'e': 0.38239691771268025}",25,1,6.383541458257512,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.04, 'e': 0.3451409698083231}",25,7,10.860583869550744,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
